invoice_id,branch,city,customer,gender,product_line,price,quantity,tax,total,date,time,payment,cogs,gross income,rating
595-11-5460,A,678549,Normal,Male,234,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,9.658,5
183-56-6882,C,754331,Member,Female,532,99.42,4,19.884,417.564,06/02/19,10:42,Ewallet,397.68,19.884,8
232-16-2483,C,754331,Member,Female,437,68.12,1,3.406,71.526,07/01/19,12:28,Ewallet,68.12,3.406,7
129-29-8530,A,678549,Member,Male,437,62.62,5,15.655,328.755,10/03/19,19:15,Ewallet,313.1,15.655,7
272-65-1806,A,678549,Normal,Female,435,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,27.396,5
333-73-7901,C,754331,Normal,Female,234,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,21.968,8
777-82-7220,B,543212,Member,Male,413,30.12,8,12.048,253.008,03/03/19,13:01,Cash,240.96,12.048,8
280-35-5823,B,543212,Member,Female,413,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.336,8
554-53-8700,C,754331,Member,Male,413,56.11,2,5.611,117.831,02/02/19,10:11,Cash,112.22,5.611,6
354-25-5821,B,543212,Member,Female,437,69.12,6,20.736,435.456,08/02/19,13:03,Cash,414.72,20.736,6
228-96-1411,C,754331,Member,Female,532,98.7,8,39.48,829.08,04/03/19,20:39,Cash,789.6,39.48,8
617-15-4209,C,754331,Member,Male,234,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,1.537,7
132-32-9879,B,543212,Member,Female,435,93.96,4,18.792,394.632,09/03/19,18:00,Cash,375.84,18.792,10
370-41-7321,B,543212,Member,Male,234,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,25.5105,8
727-46-3608,B,543212,Member,Female,532,20.01,9,9.0045,189.0945,06/02/19,15:47,Ewallet,180.09,9.0045,4
669-54-1719,B,543212,Member,Male,435,18.93,6,5.679,119.259,10/02/19,12:45,Credit card,113.58,5.679,8
574-22-5561,C,754331,Member,Female,253,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,41.315,8
326-78-5178,C,754331,Member,Male,532,91.4,7,31.99,671.79,03/02/19,10:19,Cash,639.8,31.99,10
162-48-8011,A,678549,Member,Female,532,44.59,5,11.1475,234.0975,10/02/19,15:10,Cash,222.95,11.1475,9
616-24-2851,B,543212,Member,Female,253,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,3.574,7
778-71-5554,C,754331,Member,Male,253,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,0.7715,6
242-55-6721,B,543212,Normal,Male,413,16.16,2,1.616,33.936,07/03/19,11:49,Ewallet,32.32,1.616,7
399-46-5918,C,754331,Normal,Female,435,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,34.392,8
106-35-6779,A,678549,Member,Male,413,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.434,6
635-40-6220,A,678549,Normal,Male,234,89.6,8,35.84,752.64,07/02/19,11:28,Ewallet,716.8,35.84,7
817-48-8732,A,678549,Member,Female,413,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,36.175,5
120-06-4233,C,754331,Normal,Male,435,30.61,6,9.183,192.843,12/03/19,20:36,Cash,183.66,9.183,9
285-68-5083,C,754331,Member,Female,437,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,3.711,10
803-83-5989,C,754331,Normal,Male,413,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,16.719,7
347-34-2234,B,543212,Member,Female,437,55.07,9,24.7815,520.4115,03/02/19,13:40,Ewallet,495.63,24.7815,10
199-75-8169,A,678549,Member,Male,437,15.81,10,7.905,166.005,06/03/19,12:27,Credit card,158.1,7.905,9
853-23-2453,B,543212,Member,Male,234,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,15.148,8
877-22-3308,A,678549,Member,Male,234,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,7.935,6
838-78-4295,C,754331,Normal,Female,234,33.47,2,3.347,70.287,10/02/19,15:43,Ewallet,66.94,3.347,7
109-28-2512,B,543212,Member,Female,253,97.61,6,29.283,614.943,07/01/19,15:01,Ewallet,585.66,29.283,10
232-11-3025,A,678549,Normal,Male,437,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,39.385,6
382-03-4532,A,678549,Member,Female,234,18.33,1,0.9165,19.2465,02/02/19,18:50,Cash,18.33,0.9165,4
393-65-2792,C,754331,Normal,Male,532,89.48,10,44.74,939.54,06/01/19,12:46,Credit card,894.8,44.74,10
796-12-2025,C,754331,Normal,Male,253,62.12,10,31.06,652.26,11/02/19,16:19,Cash,621.2,31.06,6
510-95-6347,B,543212,Member,Female,532,48.52,3,7.278,152.838,05/03/19,18:17,Ewallet,145.56,7.278,4
841-35-6630,C,754331,Normal,Female,435,75.91,6,22.773,478.233,09/03/19,18:21,Cash,455.46,22.773,9
287-21-9091,A,678549,Normal,Male,413,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,33.6015,9
732-94-0499,C,754331,Normal,Female,435,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,20.825,5
263-10-3913,C,754331,Member,Male,253,49.04,9,22.068,463.428,09/01/19,14:20,Credit card,441.36,22.068,9
381-20-0914,A,678549,Member,Female,253,20.01,9,9.0045,189.0945,12/01/19,15:48,Credit card,180.09,9.0045,6
829-49-1914,C,754331,Member,Female,532,78.31,10,39.155,822.255,05/03/19,16:24,Ewallet,783.1,39.155,7
756-01-7507,C,754331,Normal,Female,234,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,5.095,6
870-72-4431,C,754331,Normal,Female,234,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,29.757,6
847-38-7188,B,543212,Normal,Female,532,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,14.502,6
480-63-2856,C,754331,Normal,Male,532,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,154,7.7,7
787-56-0757,C,754331,Member,Female,532,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,16.072,8
360-39-5055,C,754331,Member,Male,437,48.91,5,12.2275,256.7775,09/03/19,10:17,Cash,244.55,12.2275,7
730-50-9884,C,754331,Normal,Female,437,83.06,7,29.071,610.491,05/03/19,14:31,Ewallet,581.42,29.071,4
362-58-8315,C,754331,Normal,Male,253,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,19.13,10
633-44-8566,A,678549,Member,Male,532,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,17.283,7
504-35-8843,A,678549,Normal,Male,437,42.47,1,2.1235,44.5935,02/01/19,16:57,Cash,42.47,2.1235,6
318-68-5053,B,543212,Normal,Female,234,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,23.097,6
565-80-5980,C,754331,Member,Female,413,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,9.476,7
225-32-0908,C,754331,Normal,Female,437,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,22.43,8
873-51-0671,A,678549,Member,Female,437,21.98,7,7.693,161.553,10/01/19,16:42,Ewallet,153.86,7.693,5
152-08-9985,B,543212,Member,Male,234,64.36,9,28.962,608.202,12/03/19,12:09,Credit card,579.24,28.962,9
512-91-0811,C,754331,Normal,Male,234,89.75,1,4.4875,94.2375,06/02/19,20:05,Credit card,89.75,4.4875,7
594-34-4444,A,678549,Normal,Male,435,97.16,1,4.858,102.018,08/03/19,20:38,Ewallet,97.16,4.858,7
766-85-7061,B,543212,Normal,Male,234,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,43.935,5
871-39-9221,C,754331,Normal,Female,435,12.45,6,3.735,78.435,09/02/19,13:11,Cash,74.7,3.735,4
865-92-6136,A,678549,Normal,Male,532,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,7.9125,9
733-01-9107,B,543212,Normal,Male,413,82.7,6,24.81,521.01,05/03/19,18:14,Cash,496.2,24.81,7
163-56-7055,C,754331,Member,Male,253,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,2.4355,4
189-98-2939,C,754331,Normal,Male,253,78.55,9,35.3475,742.2975,01/03/19,13:22,Cash,706.95,35.3475,7
551-21-3069,C,754331,Normal,Female,435,23.07,9,10.3815,218.0115,01/02/19,11:27,Cash,207.63,10.3815,5
212-62-1842,A,678549,Normal,Male,532,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,17.478,10
716-39-1409,B,543212,Normal,Male,234,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,10.6225,8
704-48-3927,A,678549,Member,Male,435,88.67,10,44.335,931.035,12/01/19,14:50,Ewallet,886.7,44.335,7
628-34-3388,C,754331,Normal,Male,253,27.38,6,8.214,172.494,05/01/19,20:54,Credit card,164.28,8.214,8
630-74-5166,A,678549,Normal,Male,437,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,18.639,7
588-01-7461,C,754331,Normal,Female,532,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,305.82,15.291,4
861-77-0145,C,754331,Member,Male,435,81.97,10,40.985,860.685,03/03/19,14:30,Cash,819.7,40.985,9
479-26-8945,B,543212,Member,Female,437,16.49,2,1.649,34.629,05/02/19,11:32,Ewallet,32.98,1.649,5
210-67-5886,C,754331,Member,Female,234,98.21,3,14.7315,309.3615,05/02/19,10:41,Credit card,294.63,14.7315,8
227-78-1148,B,543212,Normal,Female,253,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,509.88,25.494,8
645-44-1170,A,678549,Member,Male,413,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,26.1315,4
237-01-6122,C,754331,Member,Female,413,80.79,9,36.3555,763.4655,01/02/19,20:31,Credit card,727.11,36.3555,10
225-98-1496,C,754331,Normal,Female,253,27.02,3,4.053,85.113,02/03/19,13:01,Credit card,81.06,4.053,7
291-32-1427,B,543212,Member,Male,253,21.94,5,5.485,115.185,05/03/19,12:29,Ewallet,109.7,5.485,5
659-65-8956,B,543212,Member,Male,253,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,51.36,2.568,5
642-32-2990,A,678549,Normal,Female,532,10.96,10,5.48,115.08,02/02/19,20:48,Ewallet,109.6,5.48,6
378-24-2715,B,543212,Normal,Male,413,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,106.88,5.344,4
638-60-7125,A,678549,Normal,Female,435,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,796.48,39.824,5
659-36-1684,C,754331,Member,Male,437,57.12,7,19.992,419.832,12/01/19,12:02,Credit card,399.84,19.992,7
219-22-9386,B,543212,Member,Male,437,99.96,9,44.982,944.622,09/03/19,17:26,Credit card,899.64,44.982,4
336-78-2147,C,754331,Member,Male,413,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,511.28,25.564,5
268-27-6179,B,543212,Member,Female,253,56.47,8,22.588,474.348,09/03/19,14:57,Ewallet,451.76,22.588,7
668-90-8900,A,678549,Normal,Female,413,93.69,7,32.7915,688.6215,10/03/19,18:44,Credit card,655.83,32.7915,5
870-54-3162,A,678549,Normal,Female,437,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,8.0625,9
189-08-9157,C,754331,Normal,Female,253,31.73,9,14.2785,299.8485,08/01/19,16:17,Credit card,285.57,14.2785,6
663-86-9076,C,754331,Member,Female,532,68.54,8,27.416,575.736,08/01/19,15:57,Ewallet,548.32,27.416,9
549-84-7482,B,543212,Normal,Female,437,90.28,9,40.626,853.146,08/02/19,11:15,Ewallet,812.52,40.626,7
191-10-6171,B,543212,Normal,Female,253,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,277.34,13.867,8
802-70-5316,A,678549,Member,Female,437,92.13,6,27.639,580.419,06/03/19,20:34,Cash,552.78,27.639,8
695-51-0018,B,543212,Normal,Female,437,34.84,4,6.968,146.328,10/02/19,18:36,Cash,139.36,6.968,7
590-83-4591,B,543212,Member,Male,435,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,524.7,26.235,9
483-71-1164,C,754331,Normal,Female,234,81.3,6,24.39,512.19,08/03/19,16:43,Ewallet,487.8,24.39,5
597-78-7908,C,754331,Normal,Male,253,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,270.66,13.533,6
700-81-1757,A,678549,Normal,Female,435,26.31,5,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,6.5775,9
354-39-5160,A,678549,Member,Female,413,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,206.52,10.326,10
241-72-9525,B,543212,Normal,Male,437,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,519.1,25.955,8
575-30-8091,A,678549,Normal,Male,437,72.5,8,29,609,3/16/2019,19:25,Ewallet,580,29,9
731-81-9469,C,754331,Member,Female,437,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,898,44.9,5
280-17-4359,C,754331,Member,Male,234,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,905,45.25,8
338-65-2210,C,754331,Member,Female,234,68.6,10,34.3,720.3,05/02/19,19:57,Cash,686,34.3,9
488-25-4221,C,754331,Member,Female,532,30.41,1,1.5205,31.9305,2/22/2019,10:36,Credit card,30.41,1.5205,8
239-10-7476,A,678549,Normal,Female,413,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,467.7,23.385,8
458-41-1477,C,754331,Normal,Female,234,46.26,6,13.878,291.438,08/03/19,17:11,Credit card,277.56,13.878,10
685-64-1609,A,678549,Member,Female,253,30.14,10,15.07,316.47,10/02/19,12:28,Ewallet,301.4,15.07,9
568-90-5112,C,754331,Normal,Male,234,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,264.56,13.228,6
262-47-2794,B,543212,Member,Male,413,71.86,8,28.744,603.624,06/03/19,15:07,Credit card,574.88,28.744,6
238-49-0436,A,678549,Normal,Male,234,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,259.68,12.984,5
608-96-3517,B,543212,Member,Female,253,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,366.16,18.308,5
584-86-7256,C,754331,Member,Male,437,34.56,7,12.096,254.016,11/03/19,16:07,Credit card,241.92,12.096,7
746-94-0204,A,678549,Normal,Male,253,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,749.16,37.458,7
214-17-6927,C,754331,Normal,Female,532,16.48,6,4.944,103.824,07/02/19,18:23,Ewallet,98.88,4.944,10
400-89-4171,C,754331,Normal,Female,437,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,647.76,32.388,9
782-95-9291,A,678549,Member,Male,532,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,461.45,23.0725,9
279-74-2924,B,543212,Member,Male,435,72.17,1,3.6085,75.7785,04/01/19,19:40,Cash,72.17,3.6085,6
307-85-2293,B,543212,Normal,Male,413,50.28,5,12.57,263.97,07/03/19,13:58,Ewallet,251.4,12.57,10
743-04-1105,B,543212,Member,Male,234,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,874.98,43.749,6
423-57-2993,B,543212,Normal,Male,437,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,560.34,28.017,10
894-41-5205,C,754331,Normal,Female,532,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,345.44,17.272,8
275-28-0149,A,678549,Normal,Male,437,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,3.1845,6
101-17-6199,A,678549,Normal,Male,532,45.79,7,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,16.0265,7
423-80-0988,C,754331,Normal,Male,437,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,152.8,7.64,7
548-46-9322,B,543212,Normal,Male,532,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,399,19.95,6
505-02-0892,B,543212,Member,Male,234,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,340.56,17.028,6
234-65-2137,C,754331,Normal,Male,413,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,955.8,47.79,5
687-47-8271,A,678549,Normal,Male,253,98.98,10,49.49,1039.29,08/02/19,16:20,Credit card,989.8,49.49,9
796-32-9050,A,678549,Normal,Male,532,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,307.68,15.384,7
105-31-1824,A,678549,Member,Male,437,69.52,7,24.332,510.972,01/02/19,15:10,Credit card,486.64,24.332,9
249-42-3782,A,678549,Normal,Male,234,70.01,5,17.5025,367.5525,03/01/19,11:36,Ewallet,350.05,17.5025,6
316-55-4634,B,543212,Member,Male,532,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,400.25,20.0125,9
733-33-4967,C,754331,Normal,Male,435,20.85,8,8.34,175.14,03/03/19,19:17,Cash,166.8,8.34,6
608-27-6295,B,543212,Member,Male,435,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,317.34,15.867,10
414-12-7047,B,543212,Normal,Male,532,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,158.32,7.916,9
827-26-2100,A,678549,Member,Male,413,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,304.56,15.228,9
175-54-2529,A,678549,Member,Male,532,22.17,8,8.868,186.228,03/03/19,17:01,Credit card,177.36,8.868,10
139-52-2867,C,754331,Normal,Female,253,22.51,7,7.8785,165.4485,2/13/2019,10:50,Credit card,157.57,7.8785,5
407-63-8975,A,678549,Normal,Male,532,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,443.28,22.164,4
342-65-4817,C,754331,Member,Male,234,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,13.02,10
130-98-8941,C,754331,Normal,Male,253,64.26,7,22.491,472.311,09/02/19,10:00,Cash,449.82,22.491,6
434-83-9547,C,754331,Member,Male,532,38.47,8,15.388,323.148,1/23/2019,11:51,Cash,307.76,15.388,8
851-28-6367,A,678549,Member,Male,437,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,155,7.75,8
824-88-3614,C,754331,Normal,Male,234,34.31,8,13.724,288.204,1/25/2019,15:00,Ewallet,274.48,13.724,6
586-25-0848,A,678549,Normal,Female,437,12.34,7,4.319,90.699,04/03/19,11:19,Credit card,86.38,4.319,7
895-66-0685,B,543212,Member,Male,532,18.08,3,2.712,56.952,05/03/19,19:46,Ewallet,54.24,2.712,8
305-14-0245,B,543212,Member,Female,413,94.49,8,37.796,793.716,03/03/19,19:00,Ewallet,755.92,37.796,8
732-04-5373,B,543212,Member,Male,413,46.47,4,9.294,195.174,08/02/19,10:53,Cash,185.88,9.294,7
400-60-7251,A,678549,Normal,Male,413,74.07,1,3.7035,77.7735,10/02/19,12:50,Ewallet,74.07,3.7035,10
593-65-1552,C,754331,Normal,Female,413,69.81,4,13.962,293.202,1/28/2019,20:50,Credit card,279.24,13.962,6
284-34-9626,B,543212,Normal,Female,413,77.04,3,11.556,242.676,11/02/19,10:39,Credit card,231.12,11.556,7
437-58-8131,B,543212,Normal,Female,253,73.52,2,7.352,154.392,1/15/2019,13:41,Ewallet,147.04,7.352,5
286-43-6208,C,754331,Normal,Female,532,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,790.2,39.51,9
641-43-2399,B,543212,Normal,Male,413,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,102.2,5.11,6
831-07-6050,A,678549,Normal,Male,435,32.71,5,8.1775,171.7275,3/19/2019,11:30,Credit card,163.55,8.1775,10
556-86-3144,C,754331,Member,Female,253,74.29,1,3.7145,78.0045,1/13/2019,19:30,Cash,74.29,3.7145,5
848-24-9445,C,754331,Member,Male,234,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,87.4,4.37,5
856-22-8149,A,678549,Normal,Female,413,25.29,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,25.29,1.2645,6
699-01-4164,C,754331,Normal,Male,234,41.5,4,8.3,174.3,12/03/19,19:58,Credit card,166,8.3,8
420-11-4919,C,754331,Member,Female,532,71.39,5,17.8475,374.7975,2/17/2019,19:57,Credit card,356.95,17.8475,6
606-80-4905,C,754331,Member,Female,437,19.15,6,5.745,120.645,1/29/2019,10:01,Credit card,114.9,5.745,7
542-41-0513,B,543212,Member,Female,435,57.49,4,11.498,241.458,3/15/2019,11:57,Cash,229.96,11.498,7
426-39-2418,C,754331,Normal,Male,435,61.41,7,21.4935,451.3635,1/14/2019,10:02,Cash,429.87,21.4935,10
875-46-5808,B,543212,Member,Male,234,25.9,10,12.95,271.95,06/02/19,14:51,Ewallet,259,12.95,9
394-43-4238,B,543212,Member,Male,413,17.77,5,4.4425,93.2925,2/15/2019,12:42,Credit card,88.85,4.4425,5
749-24-1565,A,678549,Normal,Female,234,23.03,9,10.3635,217.6335,03/01/19,12:02,Ewallet,207.27,10.3635,8
672-51-8681,C,754331,Member,Female,435,66.65,9,29.9925,629.8425,04/01/19,18:19,Credit card,599.85,29.9925,10
263-87-5680,C,754331,Member,Female,413,28.53,10,14.265,299.565,3/18/2019,17:38,Ewallet,285.3,14.265,8
573-58-9734,B,543212,Normal,Female,253,30.37,3,4.5555,95.6655,3/28/2019,13:41,Ewallet,91.11,4.5555,5
817-69-8206,B,543212,Normal,Female,435,99.73,9,44.8785,942.4485,02/03/19,19:42,Credit card,897.57,44.8785,7
888-02-0338,A,678549,Normal,Male,435,26.23,9,11.8035,247.8735,1/25/2019,20:24,Ewallet,236.07,11.8035,6
677-11-0152,C,754331,Normal,Female,532,93.26,9,41.967,881.307,1/16/2019,18:08,Cash,839.34,41.967,9
142-63-6033,B,543212,Normal,Male,413,92.36,5,23.09,484.89,3/20/2019,19:17,Ewallet,461.8,23.09,5
656-16-1063,B,543212,Normal,Male,437,46.42,3,6.963,146.223,04/01/19,13:24,Credit card,139.26,6.963,4
891-58-8335,B,543212,Member,Female,437,29.61,7,10.3635,217.6335,11/03/19,15:53,Cash,207.27,10.3635,7
802-43-8934,A,678549,Normal,Male,413,18.28,1,0.914,19.194,3/22/2019,15:05,Credit card,18.28,0.914,8
560-30-5617,B,543212,Normal,Female,437,24.77,5,6.1925,130.0425,3/24/2019,18:27,Cash,123.85,6.1925,9
319-74-2561,A,678549,Member,Female,435,94.64,3,14.196,298.116,2/21/2019,16:55,Cash,283.92,14.196,6
549-03-9315,B,543212,Normal,Male,253,94.87,8,37.948,796.908,12/02/19,12:58,Ewallet,758.96,37.948,9
790-29-1172,B,543212,Normal,Female,532,57.34,3,8.601,180.621,10/03/19,18:59,Credit card,172.02,8.601,8
239-36-3640,B,543212,Normal,Male,435,45.35,6,13.605,285.705,1/31/2019,13:44,Ewallet,272.1,13.605,6
468-01-2051,B,543212,Normal,Male,532,62.08,7,21.728,456.288,06/03/19,13:46,Ewallet,434.56,21.728,5
389-25-3394,C,754331,Normal,Male,435,11.81,5,2.9525,62.0025,2/17/2019,18:06,Cash,59.05,2.9525,9
279-62-1445,C,754331,Member,Female,253,12.54,1,0.627,13.167,2/21/2019,12:38,Cash,12.54,0.627,8
213-72-6612,A,678549,Normal,Male,532,43.25,2,4.325,90.825,3/20/2019,15:56,Cash,86.5,4.325,6
746-68-6593,C,754331,Member,Female,437,87.16,2,8.716,183.036,11/01/19,14:29,Credit card,174.32,8.716,10
836-82-5858,B,543212,Member,Male,234,69.37,9,31.2165,655.5465,1/26/2019,19:14,Ewallet,624.33,31.2165,4
583-72-1480,C,754331,Member,Male,435,37.06,4,7.412,155.652,1/31/2019,16:24,Ewallet,148.24,7.412,10
